id,Titulo,Contenido,Estado
1,El Sistema Solar,Nuestro vecindario cósmico y la definición de planeta.,sent
2,Vida y muerte de las estrellas,De las nebulosas a las supernovas y agujeros negros.,sent
3,¿Por qué brillan las estrellas?,Fusión nuclear: el motor que enciende el universo.,sent
4,La Luna y las mareas,Cómo la gravedad de nuestro satélite mueve los océanos.,sent
5,El Big Bang,La teoría del origen y la expansión del universo.,sent
6,La velocidad de la luz,El límite de velocidad cósmico y por qué nada lo supera.,sent
7,Teoría de la Relatividad,"Einstein, la dilatación del tiempo y el espacio curvo.",sent
8,La gravedad explicada,No es solo una fuerza: es la deformación del espacio-tiempo.,sent
9,El sonido en el espacio,Por qué en el espacio nadie puede oír tus gritos.,sent
10,Materia Oscura,El misterioso 85% del universo que no podemos ver.,pending
11,Exoplanetas,La búsqueda de Tierras gemelas y la zona habitable.,pending
12,Los colores del cielo,La dispersión de Rayleigh: por qué el cielo es azul y el atardecer rojo.,pending
13,Viajes en el tiempo,Paradojas teóricas y qué dice la física sobre su posibilidad.,pending
14,El Átomo,"Protones, electrones y el inmenso espacio vacío que nos forma.",pending
15,La Tabla Periódica,Cómo se organizan los elementos que componen todo lo que existe.,pending
16,Estados de la materia,"Sólido, líquido, gas y el extraño ""plasma"".",pending
17,El agua (H2O),Por qué el hielo flota y otras anomalías vitales para la vida.,pending
18,Reacciones químicas,Oxidación y combustión: del óxido al fuego.,pending
19,El Carbono,El elemento base de la vida y la diferencia entre grafito y diamante.,pending
20,Termodinámica y Entropía,Por qué el desorden siempre aumenta y el tiempo no vuelve atrás.,pending
21,Electricidad: AC vs DC,La guerra de las corrientes entre Tesla y Edison.,pending
22,Magnetismo,Cómo funciona una brújula y el campo magnético terrestre.,pending
23,Aerodinámica,El principio de Bernoulli: por qué vuelan los aviones pesados.,pending
24,Física Cuántica básica,El Gato de Schrödinger y la superposición de estados.,pending
25,Nanotecnología,Manipulando la materia átomo a átomo.,pending
26,El Grafeno,"El ""material de Dios"": dureza, flexibilidad y conductividad extrema.",pending
27,Teoría de la Evolución,"Darwin, la selección natural y el origen de las especies.",pending
28,El ADN,La doble hélice y el manual de instrucciones de la vida.,pending
29,La Célula,"La unidad básica de la vida y sus ""pequeñas máquinas"" internas.",pending
30,Virus vs Bacterias,Diferencias clave y por qué los antibióticos no matan virus.,pending
31,El Sistema Inmunológico,Cómo tu cuerpo entrena a sus soldados para defenderse.,pending
32,Las Vacunas,Historia y funcionamiento: engañando al cuerpo para protegerlo.,pending
33,El Cerebro Humano,"Neuronas, sinapsis y cómo se almacenan los recuerdos.",pending
34,El Sueño y los sueños,Por qué dormimos y qué ocurre en la fase REM.,pending
35,El efecto Placebo,El poder de la mente para curar (o enfermar) el cuerpo.,pending
36,La Microbiota,"El ""segundo cerebro"" que vive en tus intestinos.",pending
37,CRISPR y edición genética,"La tecnología para ""cortar y pegar"" genes y curar enfermedades.",pending
38,Clonación,De la oveja Dolly a los dilemas éticos actuales.,pending
39,Bioluminiscencia,Animales que brillan en la oscuridad y cómo lo hacen.,pending
40,Código Binario,Ceros y unos: el lenguaje fundamental de las computadoras.,pending
41,El Transistor,El invento más importante del siglo XX que hizo posible lo digital.,pending
42,Internet,Cables submarinos y servidores: la estructura física de la red.,pending
43,Algoritmos,Las reglas invisibles que deciden qué ves en redes sociales.,pending
44,Criptografía,Cómo las matemáticas protegen tus contraseñas y tarjetas.,pending
45,Inteligencia Artificial (IA),Aprendizaje automático (Machine Learning) explicado sencillo.,pending
46,Blockchain,La tecnología de bloques detrás de Bitcoin y la descentralización.,pending
47,Realidad Virtual vs Aumentada,Diferencias entre inmersión total y capas digitales.,pending
48,Impresión 3D,Fabricación aditiva: de imprimir juguetes a imprimir casas.,pending
49,GPS y Relatividad,Por qué tu Google Maps necesita a Einstein para funcionar.,pending
50,Energías Renovables,"Solar, eólica y el reto del almacenamiento en baterías.",pending
51,Fusión Nuclear,El sueño de la energía limpia e infinita (crear un sol en la tierra).,pending
52,La Hipótesis de la Simulación,¿Vivimos en una realidad base o en un videojuego avanzado?,pending
