id,Titulo,Contenido,Estado
1,Pangea y la Deriva Continental,Cómo la Tierra fue un solo supercontinente y volverá a serlo.,sent
2,El Amazonas,"El ""pulmón del planeta"" y el río más caudaloso del mundo.",pending
3,Los Microestados de Europa,"Vaticano, Mónaco, San Marino... países que recorres a pie.",pending
4,Escandinavia vs. Países Nórdicos,Diferencias culturales y geográficas que solemos confundir.,pending
5,El Canal de Panamá,La obra de ingeniería que partió un continente para unir dos océanos.,pending
6,La Corriente del Golfo,Por qué Europa es cálida a pesar de estar tan al norte como Canadá.,pending
7,Los Andes,La cordillera continental más larga y su impacto en el clima.,pending
8,Groenlandia,La isla más grande del mundo (que geográficamente es América).,pending
9,Los Grandes Lagos,La mayor reserva de agua dulce superficial de Norteamérica.,pending
10,Las Islas Galápagos,Un laboratorio evolutivo aislado en el Pacífico.,pending
11,La Patagonia,Tierra de fuego y hielo en el extremo sur del mundo.,pending
12,El Caribe y sus Huracanes,Geografía tropical y por qué es el pasillo de las tormentas.,pending
13,La Falla de San Andrés,El límite tectónico donde California se separa de América.,pending
14,El Himalaya,"El ""techo del mundo"" y el choque de placas que sigue elevándolo.",pending
15,El Anillo de Fuego del Pacífico,Donde ocurren el 90% de los terremotos y volcanes del mundo.,sent
16,El Mar Muerto,El punto más bajo de la Tierra donde es imposible hundirse.,pending
17,Japón: Geografía insular,Cómo vivir y prosperar en un archipiélago montañoso y sísmico.,pending
18,El Desierto de Gobi,Un desierto frío donde nieva y se encuentran huevos de dinosaurio.,pending
19,El Río Mekong,"La ""madre de las aguas"" que alimenta al sudeste asiático.",pending
20,El Monzón Índico,El fenómeno climático que define la vida y agricultura en India.,pending
21,La Línea de Wallace,La frontera invisible que separa la fauna de Asia y Oceanía.,pending
22,La Gran Barrera de Coral,La única estructura viva visible desde el espacio.,pending
23,Zealandia,El octavo continente sumergido bajo Nueva Zelanda.,pending
24,La Polinesia y el Triángulo,Cómo los navegantes conquistaron el océano más grande.,pending
25,"Los ""Sabes qué"" de Rusia","El país más grande, 11 husos horarios y el Transiberiano.",pending
26,"Asia Central y los ""Stans""",La Ruta de la Seda y la geografía de las estepas.,pending
27,El Río Nilo,¿El más largo del mundo? Su lucha eterna con el Amazonas.,pending
28,El Desierto del Sahara,Cómo era una sabana verde hace miles de años y por qué cambió.,pending
29,El Gran Valle del Rift,La cicatriz que está partiendo África en dos lentamente.,pending
30,Madagascar,"La ""octava isla continente"" y su fauna única (lémures y baobabs).",pending
31,El Sahel,La zona de transición entre el desierto y la sabana africana.,pending
32,El Cabo de Buena Esperanza,Mitos de navegantes y el punto clave del comercio antiguo.,pending
33,El Canal de Suez,El atajo geopolítico más importante del mundo moderno.,pending
34,El Creciente Fértil,Mesopotamia y la geografía que permitió la agricultura.,pending
35,El Kilimanjaro,Nieve en el ecuador: la montaña independiente más alta.,pending
36,La Selva del Congo,El corazón verde y misterioso de África central.,pending
37,Las Cataratas Victoria,"""El humo que truena"": la frontera natural entre Zambia y Zimbabue.",pending
38,La Península Arábiga,"Mares de arena, petróleo y la falta de ríos permanentes.",pending
39,El Estrecho de Gibraltar,Los 14 km que separan dos continentes y dos culturas.,pending
40,La Antártida,"El continente sin gobierno, dedicado a la paz y la ciencia.",pending
41,El Punto Nemo,El lugar más inaccesible del océano (más cerca de la ISS que de tierra).,pending
42,La Fosa de las Marianas,El lugar más profundo de la corteza terrestre (Challenger Deep).,pending
43,Husos Horarios extraños,De la línea de cambio de fecha a países con horas y media.,pending
44,Enclaves y Exclaves,"Fronteras locas: Baarle-Hertog, Kaliningrad y Llívia.",pending
45,Ártico vs Antártico,Diferencias clave: un océano rodeado de tierra vs tierra rodeada de océano.,pending
46,El Salar de Uyuni,El espejo natural más grande del mundo en Bolivia.,pending
47,Tristán de Acuña,La isla habitada más remota del planeta.,pending
48,Ciudades Subterráneas,Capadocia (Turquía) y el RÉSO de Montreal.,pending
49,Ciudades Fantasma,"Pripyat, Bodie y lugares abandonados por la geografía o el hombre.",pending
50,Islas Artificiales,De los pólders holandeses a las Palmeras de Dubái.,pending
51,Geopolítica del Ártico,El deshielo y las nuevas rutas comerciales del norte.,pending
52,Bir Tawil,"""Terra Nullius"": el único lugar del mundo que ningún país reclama.",pending
