id,Titulo,Contenido,Estado
1,Placas Tectónicas,El rompecabezas gigante sobre el que flotamos y los terremotos.,sent
2,El Ciclo del Agua,Cómo la misma gota de agua que bebes hoy pudo haberla bebido un dinosaurio.,sent
3,La Atmósfera,Las capas que nos protegen: de la Troposfera a la Exosfera.,sent
4,El Campo Magnético,El escudo invisible de la Tierra contra el viento solar letal.,sent
5,Volcanes,Magma vs. Lava y cómo las erupciones enfrían o calientan el planeta.,sent
6,El Efecto Invernadero,Un fenómeno natural vital para la vida (distinto al calentamiento global).,sent
7,El Niño y La Niña,Cómo la temperatura del Pacífico altera el clima de todo el mundo.,pending
8,La Capa de Ozono,El filtro solar del planeta y su recuperación histórica.,pending
9,Los Glaciares,Ríos de hielo en movimiento y el archivo climático de la Tierra.,pending
10,Clasificación de las Nubes,"Cúmulos, Estratos y Cirros: cómo leer el cielo para predecir el tiempo.",pending
11,Corrientes Marinas,Las cintas transportadoras que regulan la temperatura global.,pending
12,Tsunamis,"Por qué no son ""olas gigantes"" sino desplazamientos de masa de agua.",pending
13,Auroras Boreales,La física detrás de las luces del norte (y del sur).,pending
14,Mamíferos,"Qué nos define realmente: pelo, leche y sangre caliente.",pending
15,Marsupiales,El nacimiento prematuro y la vida en la bolsa (Canguros y Koalas).,pending
16,Primates,Simios y monos: diferencias clave y el uso de herramientas.,pending
17,Felinos,Por qué los gatos grandes rugen y los pequeños ronronean (el hueso hioides).,pending
18,Cánidos y el Lobo,La estructura de la manada y el origen del perro doméstico.,pending
19,Aves Migratorias,Cómo usan el campo magnético para viajar miles de kilómetros sin mapa.,pending
20,Velocidad Animal,Guepardo vs Halcón Peregrino: adaptaciones para la caza extrema.,pending
21,Hibernación,No es solo dormir: es bajar las constantes vitales al límite de la muerte.,pending
22,Camuflaje y Mimetismo,Diferencia entre esconderse y disfrazarse de otra cosa (Mimetismo Batesiano).,pending
23,Ecolocalización,"Cómo los murciélagos y delfines ""ven"" con el sonido.",pending
24,Hormigas,Superorganismos: inteligencia colectiva y agricultura fungícola.,pending
25,Abejas,La danza de las abejas y por qué su polinización sostiene nuestra comida.,pending
26,Arácnidos,La seda de araña: más fuerte que el acero y más flexible que el nylon.,pending
27,Cetáceos,"La comunicación de las ballenas y sus ""canciones"" culturales.",pending
28,Tiburones,La electrorrecepción: el sexto sentido para detectar latidos cardíacos.,pending
29,Cefalópodos,"Pulpos: tres corazones, sangre azul y un cerebro descentralizado.",pending
30,Arrecifes de Coral,"No son piedras, son animales: la simbiosis vital con las algas.",pending
31,Criaturas Abisales,La vida a presiones extremas y sin luz (peces linterna).,pending
32,Medusas,La Turritopsis dohrnii y el secreto biológico de la inmortalidad.,pending
33,El Plancton,Fitoplancton: los microorganismos que producen el 50% de tu oxígeno.,pending
34,Caballitos de Mar,El único animal donde el macho se queda embarazado.,pending
35,Fuentes Hidrotermales,Vida basada en quimiosíntesis (química) en lugar de fotosíntesis (sol).,pending
36,Delfines y Orcas,"Autoconsciencia, nombres propios y estrategias de caza complejas.",pending
37,Tortugas Marinas,El misterio de cómo vuelven a la misma playa donde nacieron años después.,pending
38,Calamar Colosal,El invertebrado más grande y su batalla eterna con el cachalote.,pending
39,Especies Invasoras,El conejo en Australia o el hipopótamo en Colombia: el caos ecológico.,pending
40,Fotosíntesis,La magia verde: convertir luz solar en azúcar y energía.,pending
41,Hongos y Micelio,"La ""Wood Wide Web"": cómo los árboles se comunican por debajo de la tierra.",pending
42,Plantas Carnívoras,Adaptación evolutiva a suelos pobres en nutrientes.,pending
43,Semillas,La Bóveda de Svalbard y la resistencia extrema de la vida latente.,pending
44,Árboles Milenarios,Las Secuoyas y pinos bristlecone: vivir más de 4000 años.,pending
45,Coevolución,La carrera armamentística entre flores e insectos (o depredador y presa).,pending
46,Dinosaurios y Plumas,Por qué el T-Rex se parecía más a un pájaro gigante que a un lagarto.,pending
47,Extinciones Masivas,"Las ""Cinco Grandes"" y qué causó la desaparición del Pérmico (la peor de todas).",pending
48,Fósiles,Cómo un hueso se convierte en piedra: el proceso de permineralización.,pending
49,Tardígrados,"Los ""osos de agua"": animales indestructibles que sobreviven al espacio exterior.",pending
50,Veneno vs. Ponzoña,La diferencia técnica: si te muerde y mueres (veneno) vs. si lo comes y mueres (tóxico).,pending
51,Simbiosis,"Mutualismo (pez payaso), comensalismo y parasitismo explicado.",pending
52,El Hongo Cordyceps,"El parásito real que convierte a las hormigas en ""zombies"".",pending
