id,Titulo,Contenido,Estado
1,La Proporción Áurea,"El número ""phi"" y la divina geometría en el arte y la naturaleza.",sent
2,Las Pinturas Rupestres,Altamira y Lascaux: ¿por qué pintaban nuestros ancestros?,pending
3,Escultura Griega,"El Canon de belleza, el contraposto y la búsqueda de la perfección.",pending
4,Filosofía: Los Tres Grandes,"Sócrates, Platón y Aristóteles: los cimientos del pensamiento occidental.",pending
5,Arquitectura Romana,El Panteón y la invención de la cúpula que desafía la física.,pending
6,Literatura Épica,La Ilíada y la Odisea: el origen de todas las historias de héroes.,pending
7,El Arte Gótico,"La luz como símbolo divino: vitrales, arcos apuntados y catedrales.",pending
8,El Renacimiento (I),Leonardo da Vinci: el hombre que lo sabía todo (polímata).,pending
9,El Renacimiento (II),Miguel Ángel y la Capilla Sixtina: pintar el techo del mundo.,pending
10,La Divina Comedia,"El viaje de Dante por el Infierno, Purgatorio y Paraíso.",pending
11,El Barroco y el Claroscuro,Caravaggio: el maestro de la luz dramática y las sombras.,pending
12,Las Meninas de Velázquez,El cuadro que rompió la cuarta pared y pintó el aire.,pending
13,William Shakespeare,Hamlet y Romeo y Julieta: inventando el teatro moderno.,pending
14,Miguel de Cervantes,Don Quijote de la Mancha: la primera novela moderna.,pending
15,Música Clásica: El Barroco,Vivaldi y Bach: la complejidad matemática hecha música.,pending
16,Clasicismo Musical,Mozart: el niño prodigio y la búsqueda de la melodía perfecta.,pending
17,El Romanticismo Musical,Beethoven: componer la Novena Sinfonía siendo sordo.,pending
18,Filosofía: El Estoicismo,Marco Aurelio y Séneca: el arte de mantener la calma en el caos.,pending
19,El Impresionismo,"Monet y Renoir: pintar la impresión de la luz, no el objeto.",pending
20,El Postimpresionismo,"Van Gogh: la genialidad, la locura y la Noche Estrellada.",pending
21,Literatura Rusa,Dostoievski y Tolstói: el profundo análisis del alma humana.,pending
22,Arquitectura Modernista,Antoni Gaudí y la Sagrada Familia: inspirarse en la naturaleza.,pending
23,Las Vanguardias: Cubismo,Picasso y las Señoritas de Avignon: rompiendo la perspectiva.,pending
24,Surrealismo,Salvador Dalí: relojes blandos y la lógica de los sueños.,pending
25,Filosofía: El Nihilismo,"Nietzsche: ""Dios ha muerto"" y el concepto del Superhombre.",pending
26,La Generación del 27,"Lorca y sus contemporáneos: poesía, vanguardia y tragedia.",pending
27,El nacimiento del Cine,Los Hermanos Lumière y la magia de las imágenes en movimiento.,pending
28,Cine Mudo,Charles Chaplin y Buster Keaton: el humor sin palabras.,pending
29,La Bauhaus,"La escuela alemana que definió el diseño moderno: ""la forma sigue a la función"".",pending
30,El Jazz y el Blues,El ritmo nacido en el sur de EE.UU. que cambió la música popular.,pending
31,Literatura Distópica,1984 y Un Mundo Feliz: profecías de control social.,pending
32,El Expresionismo Abstracto,"Jackson Pollock: el caos controlado del ""dripping"".",pending
33,El Pop Art,"Andy Warhol: latas de sopa, Marilyn y el arte de consumo.",pending
34,El Realismo Mágico,"Gabriel García Márquez y el ""Boom"" latinoamericano.",pending
35,Cine: El Suspense,Alfred Hitchcock: cómo manipular las emociones del espectador.,pending
36,La Nouvelle Vague,Godard y Truffaut: el cine francés que rompió las reglas narrativas.,pending
37,Filosofía: Existencialismo,"Sartre y Camus: la libertad, la angustia y el sentido de la vida.",pending
38,El Rock and Roll,"Elvis, los Beatles y la revolución cultural de los años 60.",pending
39,Fotografía,"Cartier-Bresson y el ""instante decisivo"": capturar la realidad.",pending
40,Arquitectura Brutalista,El uso del hormigón crudo y la estética de la posguerra.,pending
41,Cine de Ciencia Ficción,Kubrick y 2001 Odisea en el Espacio: filosofía visual.,pending
42,El Postmodernismo,"La mezcla de estilos, la ironía y el fin de las grandes verdades.",pending
43,Arte Urbano (Street Art),Banksy: ¿vandalismo o crítica social de alto nivel?,pending
44,Música de Cine,John Williams y Hans Zimmer: las bandas sonoras que tarareamos.,pending
45,Literatura Fantástica,Tolkien: la creación de mundos y lenguajes completos.,pending
46,El Manga y el Anime,La estética japonesa que conquistó Occidente (Ghibli y Tezuka).,pending
47,Arte Conceptual,Duchamp y el urinario: la idea es más importante que la obra.,pending
48,Filosofía Oriental básica,El Taoísmo y el Budismo Zen: fluir como el agua.,pending
49,Ópera para principiantes,Verdi y Puccini: las emociones humanas llevadas al extremo.,pending
50,Teoría del Color,Psicología del color: por qué el rojo alerta y el azul calma.,pending
51,Restauración de Arte,Cómo se salva un cuadro y los desastres (el Ecce Homo).,pending
52,El Mercado del Arte,Subastas millonarias: ¿qué da valor real a una obra?,pending
