id,Titulo,Contenido,Estado
1,Oferta y Demanda,"La ""Mano Invisible"" que fija los precios de casi todo.",sent
2,La Inflación,El ladrón silencioso: por qué tu dinero vale menos cada año.,sent
3,El PIB (Producto Interior Bruto),Cómo se mide la riqueza de un país y qué no nos cuenta.,sent
4,Coste de Oportunidad,El valor real de lo que sacrificas al tomar una decisión.,sent
5,Interés Compuesto,"La ""octava maravilla"": cómo el dinero genera dinero exponencialmente.",sent
6,Activos vs. Pasivos,La diferencia financiera clave: lo que pone dinero en tu bolsillo vs. lo que lo saca.,sent
7,Dinero Fiat vs. Patrón Oro,Por qué el dinero actual vale algo solo porque confiamos en él.,sent
8,La Bolsa de Valores,Qué es realmente una acción y por qué suben o bajan los mercados.,sent
9,Toros y Osos (Bull & Bear),La jerga animal de Wall Street para mercados alcistas y bajistas.,sent
10,Las Burbujas Económicas,De la crisis de los Tulipanes en el s.XVII a las punto-com.,pending
11,Bancos Centrales,La Reserva Federal y el BCE: quién imprime el dinero y controla los tipos.,pending
12,Impuestos: Progresivos vs Regresivos,Quién paga qué y la teoría detrás de la redistribución.,pending
13,Paraísos Fiscales,"Qué son, cómo funcionan (Offshore) y por qué existen.",pending
14,El Esquema Ponzi,La anatomía de una estafa piramidal y cómo detectarla.,pending
15,Globalización,Cómo una camiseta viaja por 5 países antes de llegar a ti.,pending
16,Monopolio y Oligopolio,Cuando la falta de competencia daña al consumidor.,pending
17,Obsolescencia Programada,Productos diseñados para romperse y mantener la rueda del consumo.,pending
18,Renta Básica Universal,El debate sobre dar dinero a todos los ciudadanos sin condiciones.,pending
19,Economía Circular,"El fin de ""usar y tirar"": reducir, reusar y reciclar valor.",pending
20,La Deuda Pública,"Qué significa que un país ""deba dinero"" y a quién se lo debe.",pending
21,Izquierda y Derecha,El origen histórico: dónde se sentaban en la Asamblea Francesa de 1789.,pending
22,Separación de Poderes,"Montesquieu: Ejecutivo, Legislativo y Judicial para evitar la tiranía.",pending
23,Democracia vs. República,Diferencias sutiles: el gobierno de la mayoría vs. el imperio de la ley.,pending
24,El Contrato Social,Rousseau y Hobbes: por qué renunciamos a libertad a cambio de seguridad.,pending
25,Estado de Bienestar,"El pacto social de la posguerra: salud, educación y pensiones.",pending
26,La ONU y el Consejo de Seguridad,"Cómo funciona el ""Veto"" de las 5 potencias mundiales.",pending
27,"Geopolítica y ""Soft Power""","Ganar influencia con cultura (Hollywood, K-Pop) en vez de misiles.",pending
28,Populismo,"La estrategia política de dividir la sociedad en ""el pueblo"" vs ""la élite"".",pending
29,Lobbying (Grupos de Presión),Cómo las empresas influyen legalmente en las decisiones políticas.,pending
30,Derechos Humanos,La Declaración Universal de 1948: los mínimos innegociables.,pending
31,La Pirámide de Maslow,La jerarquía de las necesidades humanas: de comer a autorrealizarse.,pending
32,El Principio de Pareto (80/20),Por qué el 20% de las causas genera el 80% de los resultados.,pending
33,Teoría de Juegos: Dilema del Prisionero,Por qué a veces cooperar es difícil aunque sea lo más lógico.,pending
34,La Tragedia de los Comunes,Por qué agotamos los recursos compartidos si nadie los gestiona.,pending
35,La Ventana de Overton,"Cómo cambian las ideas que la sociedad considera ""aceptables"".",pending
36,El Techo de Cristal,Las barreras invisibles que frenan el ascenso laboral de las mujeres.,pending
37,Gentrificación,Cuando los barrios pobres se ponen de moda y expulsan a sus vecinos.,pending
38,Generaciones Sociológicas,"Baby Boomers, Gen X, Millennials y Z: ¿qué los define?",pending
39,Sesgo de Confirmación,Nuestra tendencia a leer solo lo que nos da la razón.,pending
40,Falacia del Costo Hundido,"""Seguir perdiendo"" solo porque ya has invertido mucho tiempo o dinero.",pending
41,Efecto Dunning-Kruger,Por qué la gente incompetente cree saber más que los expertos.,pending
42,Efecto Halo,El prejuicio cognitivo de asumir que la gente guapa es buena o inteligente.,pending
43,Indefensión Aprendida,Cuando dejas de luchar porque crees que no tienes control.,pending
44,Experimento de Milgram,La obediencia a la autoridad: ¿somos capaces de dañar si nos lo ordenan?,pending
45,La Espiral del Silencio,Por qué nos callamos cuando creemos que somos minoría.,pending
46,El Cisne Negro,El impacto enorme de lo altamente improbable (teoría de Taleb).,pending
47,El Índice Big Mac,Explicar la paridad de poder adquisitivo usando hamburguesas.,pending
48,Paradoja de Easterlin,¿El dinero da la felicidad? Solo hasta cierto punto.,pending
49,Empresas Unicornio,Startups valoradas en mil millones sin salir a bolsa.,pending
50,Greenwashing,Marketing ecológico engañoso para limpiar la imagen de una empresa.,pending
51,Neuromarketing,Cómo las tiendas usan olores y música para manipular tu cerebro.,pending
52,Ley de Parkinson,"""El trabajo se expande hasta llenar el tiempo disponible para que se termine"".",pending
