id,Titulo,Contenido,Estado
1,Se armó la Marimorena,Una tabernera real de Madrid en el s.XVI que provocó una trifulca histórica.,sent
2,Poner una pica en Flandes,Lo costoso y difícil que era enviar tropas españolas a los Países Bajos.,pending
3,"A buenas horas, mangas verdes",La Santa Hermandad (policía antigua) que siempre llegaba tarde a los crímenes.,pending
4,Lágrimas de cocodrilo,El mito biológico de que estos reptiles lloran de pena mientras devoran a su presa.,pending
5,Tirar la casa por la ventana,Una antigua costumbre de la lotería en el siglo XIX: lanzaban muebles viejos a la calle.,pending
6,Vete al carajo,"El ""carajo"" era la canasta del mástil del barco: el peor lugar para estar castigado.",pending
7,Estar en Babia,Los reyes de León iban a la comarca de Babia a descansar y se olvidaban de gobernar.,pending
8,Salvado por la campana,El miedo a ser enterrado vivo y las cuerdas atadas a campanas en los ataúdes victorianos.,pending
9,Poner la mano en el fuego,"Los ""Juicios de Dios"" germánicos: si no te quemabas sosteniendo un hierro, eras inocente.",pending
10,Costar un ojo de la cara,Diego de Almagro perdió un ojo conquistando una fortaleza inca y se lo cobró al rey.,pending
11,Irse de picos pardos,Una ley medieval obligaba a las prostitutas a llevar faldas con picos marrones.,pending
12,No hay tu tía,"Viene de la ""atutía"", un remedio medicinal árabe. Si no había atutía, no había cura.",pending
13,Llorar como una Magdalena,Referencia bíblica a María Magdalena y su arrepentimiento.,pending
14,La caja de Pandora,El mito griego de la primera mujer que liberó todos los males del mundo por curiosidad.,pending
15,Mucha mierda,"En el teatro antiguo, mucho estiércol en la entrada significaba que había mucho público (carruajes).",pending
16,Dar calabazas,"En la Grecia antigua y la Edad Media, la calabaza era considerada antiafrodisíaca.",pending
17,Tonto de capirote,El gorro cónico que la Inquisición ponía a los condenados para humillarlos.,pending
18,Sangre azul,Los nobles visigodos tenían la piel tan pálida (no trabajaban al sol) que se veían sus venas.,pending
19,Dormirse en los laureles,"En Roma, a los generales victoriosos se les coronaba con laurel. Si dejaban de luchar, se ""dormían"".",pending
20,Mandar a freír espárragos,"Una forma elegante en el s.XIX de echar a alguien, dándole una tarea inútil que tarda mucho.",pending
21,Ser el chivo expiatorio,El ritual judío de cargar los pecados del pueblo en una cabra y enviarla al desierto.,pending
22,Pelar la pava,"Cuando los novios hablaban a través de la reja, la criada fingía desplumar un pavo para vigilar.",pending
23,Quemar las naves,La leyenda de Hernán Cortés (o Alejandro Magno) impidiendo la retirada de sus tropas.,pending
24,Huelga de celo,Cumplir el reglamento tan estrictamente que se bloquea el trabajo (el origen del término).,pending
25,A palo seco,Término náutico: navegar sin velas desplegadas (solo los palos) durante el temporal.,pending
26,Victoria pírrica,Ganar una batalla con tantas bajas que equivale a una derrota (Rey Pirro).,pending
27,El perro del hortelano,"""Ni come ni deja comer"". Viene de las fábulas griegas y obras de Lope de Vega.",pending
28,Viva la Pepa,El grito para apoyar la Constitución de Cádiz de 1812 (promulgada el día de San José).,pending
29,Entrar con el pie derecho,Una superstición romana: entrar con el izquierdo en una casa traía mala suerte.,pending
30,Haber gato encerrado,"Antiguamente, los monederos se hacían con piel de gato. Se buscaba dinero oculto.",pending
31,Irse por los cerros de Úbeda,Un capitán de Fernando III desapareció antes de la batalla y apareció cuando ya habían ganado.,pending
32,Dorar la píldora,Los boticarios recubrían las medicinas amargas con azúcar o polvo de oro.,pending
33,Hacer el agosto,Recoger la cosecha y guardar dinero para el resto del año.,pending
34,Despedirse a la francesa,Irse sin decir adiós. Una costumbre del s.XVIII mal vista por los ingleses.,pending
35,Quien se fue a Sevilla...,Perdió su silla. La historia de un trueque de arzobispados que salió mal.,pending
36,Prensa amarilla,"Nace por un personaje de cómic (""The Yellow Kid"") en la guerra de periódicos de NY.",pending
37,Ser un gorrón,"Los estudiantes antiguos llevaban una gran gorra. Si se colaban en fiestas, eran ""gorrones"".",pending
38,Echarse la siesta,"Viene de la ""Hora Sexta"" romana (mediodía), momento de descanso religioso.",pending
39,Tener vista de lince,"No es por el animal, sino por Linceo, el personaje mitológico que veía a través de las paredes.",pending
40,El talón de Aquiles,"El único punto vulnerable del héroe griego, donde su madre lo sujetó al sumergirlo.",pending
41,Pasar la noche en blanco,"Antiguamente, los caballeros velaban sus armas vestidos de blanco antes de ser armados.",pending
42,Cortar el bacalao,"En las tiendas de ultramarinos, el jefe era quien usaba el cuchillo grande para el pescado seco.",pending
43,Pagar el pato,"Una burla cristiana hacia los judíos, acusándolos falsamente de adorar pactos/patos.",pending
44,Dar gato por liebre,"El fraude habitual en las posadas del Siglo de Oro, sirviendo carne barata por cara.",pending
45,Brillar por su ausencia,"Tácito narró que, en un funeral romano, las estatuas de Bruto y Casio no estaban, y eso se notó más.",pending
46,O.K. (Okay),"Teoría popular: ""0 Killed"" (cero muertos) en los reportes de la Guerra Civil Americana.",pending
47,Dejarse de pamplinas,La pamplina es una planta con una flor muy pequeña y de poco valor.,pending
48,Echar pelillos a la mar,Un rito antiguo para sellar la paz: cortarse un pelo y tirarlo al agua.,pending
49,Lavarse las manos,El gesto de Poncio Pilato para desentenderse de la condena de Jesús.,pending
50,Meterse en camisa de once varas,Adoptar a un hijo (ritual de pasar por una camisa grande) y complicarse la vida legalmente.,pending
51,A caballo regalado...,No le mires el diente. Mirar la dentadura era la forma de saber la edad y salud de un caballo.,pending
52,Cruzar el Rubicón,"Julio César tomando una decisión irreversible y desafiando a Roma: ""La suerte está echada"".",pending
