id,Titulo,Contenido,Estado
1,La invención de la escritura,De las tablillas sumerias a los jeroglíficos egipcios.,sent
2,El Antiguo Egipto,La ingeniería de las Pirámides y la vida en el Nilo.,pending
3,El Código de Hammurabi,"La ley del ""ojo por ojo"" y el primer sistema legal escrito.",pending
4,La Democracia Ateniense,El nacimiento de la política y el voto en la Grecia Clásica.,pending
5,Esparta y su educación,"La ""agogé"" y la vida dedicada exclusivamente a la guerra.",pending
6,Alejandro Magno,La expansión del helenismo hasta los límites de la India.,pending
7,Julio César y el fin de la República,Cómo Roma pasó de ser una democracia a un Imperio.,pending
8,Ingeniería Romana,"Acueductos, calzadas y el hormigón que dura 2000 años.",pending
9,Pan y Circo,"Gladiadores, carreras de cuadrigas y control social.",pending
10,El Primer Emperador de China,Qin Shi Huang y el ejército de los Guerreros de Terracota.,pending
11,La Ruta de la Seda,La primera gran red de comercio global y el intercambio cultural.,pending
12,La caída de Roma,Invasiones bárbaras y las causas del colapso de Occidente.,pending
13,La Biblioteca de Alejandría,"El mito, la realidad y la pérdida del saber antiguo.",pending
14,El Imperio Bizantino,Constantinopla como la muralla cristiana de Europa.,pending
15,La Edad de Oro del Islam,"Avances en medicina, óptica y álgebra mientras Europa dormía.",pending
16,Los Vikingos,"Más allá del saqueo: exploradores, comerciantes y navegantes.",pending
17,El Feudalismo,"Señores, vasallos y cómo funcionaba la pirámide social medieval.",pending
18,Las Cruzadas,El choque religioso y militar entre Oriente y Occidente.,pending
19,El Imperio Mongol,Genghis Khan y el imperio contiguo más extenso de la historia.,pending
20,La Peste Negra,La pandemia que mató a un tercio de Europa y cambió la economía.,pending
21,El Renacimiento Florentino,"Los Médici, el mecenazgo y la explosión del arte.",pending
22,La Imprenta de Gutenberg,La invención que democratizó el conocimiento y cambió el mundo.,pending
23,América Precolombina,"Aztecas, Mayas e Incas antes de la llegada de Colón.",pending
24,La Era de los Descubrimientos,"Magallanes, Elcano y la primera vuelta al mundo.",pending
25,La Reforma Protestante,Martín Lutero y la gran división de la Iglesia cristiana.,pending
26,La Inquisición,"Mitos, realidades y la leyenda negra de la caza de brujas.",pending
27,El Absolutismo,Luis XIV (el Rey Sol) y la vida en el Palacio de Versalles.,pending
28,La Ilustración,"El siglo de las luces, la razón y la Enciclopedia.",pending
29,La Independencia de EE.UU.,Los padres fundadores y el nacimiento de una potencia.,pending
30,La Revolución Francesa,La toma de la Bastilla y la Declaración de los Derechos del Hombre.,pending
31,Napoleón Bonaparte,El ascenso de un artillero a Emperador de Europa.,pending
32,La Revolución Industrial,La máquina de vapor y el éxodo del campo a la ciudad.,pending
33,La Era Victoriana,El Imperio Británico y la moral estricta del siglo XIX.,pending
34,El Japón Meiji,De los samuráis a la potencia industrial en pocas décadas.,pending
35,La Primera Guerra Mundial,La guerra de trincheras y el fin de la inocencia europea.,pending
36,La Revolución Rusa,"1917, Lenin y la caída de la dinastía Romanov.",pending
37,Los Felices Años 20,"Jazz, prohibición y el camino hacia el Crack del 29.",pending
38,La Guerra Civil Española,Un conflicto que sirvió de preludio a la Segunda Guerra Mundial.,pending
39,La Tregua de Navidad de 1914,El día que los soldados jugaron al fútbol en tierra de nadie.,pending
40,La Segunda Guerra Mundial (I),El auge de los totalitarismos y la guerra relámpago.,pending
41,La Segunda Guerra Mundial (II),El Desembarco de Normandía y el frente del Pacífico.,pending
42,El Proyecto Manhattan,"Oppenheimer, la bomba atómica y el dilema moral.",pending
43,La Guerra Fría,"El Muro de Berlín, espías y la amenaza nuclear constante.",pending
44,La Carrera Espacial,La URSS vs EE.UU. por la conquista de la Luna.,pending
45,La lucha por los Derechos Civiles,"Martin Luther King, Rosa Parks y el fin de la segregación.",pending
46,Mujeres en el poder,"Cleopatra, Isabel I de Inglaterra y Catalina la Grande.",pending
47,Pioneras de la Ciencia,"Marie Curie, Ada Lovelace y Rosalind Franklin.",pending
48,El Sufragio Femenino,La larga lucha de las sufragistas por el derecho al voto.,pending
49,El desastre de Chernóbil,El accidente nuclear que aceleró la caída de la URSS.,pending
50,La Revolución Digital,ARPANET y el nacimiento de Internet y la web.,pending
51,Historia de las Pandemias,Comparativa histórica: de la Gripe Española al COVID-19.,pending
52,La Guerra del Emú,Cuando el ejército australiano perdió una guerra contra pájaros.,pending
